Cation 1,Cation 1 mol%,Cation 2,Cation 2 mol%,Cation 3,Cation 3 mol%,Cation 4,Cation 4 mol%,Cation 5,Cation 5 mol%,Cation 6,Cation 6 mol%,Anion 1,Anion 1 mol%,Anion 2,Anion 2 mol%,Promotor,Support 1,Support 1 mol%,Support 2,Support 2 mol%,Support 3,Support 3 mol%,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"p total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2), %"
La,0.5,Mg,99.5,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1073,0.89,0.11,8.1,1.0,0.07 ,,17.0,,,,68.3,11.6
La,9.9,Mg,90.1,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1073,0.89,0.11,8.1,1.0,0.07 ,,17.7,,,,69.8,12.4
La,50.0,,,,,,,,,,,Cl,50.0,,,,,,,,,,Therm.decomp.,1073,0.18,0.07,2.5,1.0,0.60 ,,37.0,71.0,,,29.0,10.7
La,100.0,,,,,,,,,,,,,,,,,,,,,,Impregnation,1073,0.50,0.10,5.0,1.0,0.04 ,,16.4,51.4,10.4,38.2,48.6,8.0
La,46.2,Zn,53.8,,,,,,,,,,,,,,,,,,,,Impregnation,1073,0.50,0.10,5.0,1.0,0.04 ,,24.3,45.5,22.1,32.4,54.5,13.2
La,9.0,Ca,91.0,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1103,0.07,0.03,2.0,1.0,0.10 ,,48.4,66.4,17.9,13.7,31.6,15.3
La,100.0,,,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1073,0.80,0.20,4.0,1.0,0.04 ,,25.7,,,,54.9,14.1
La,100.0,,,,,,,,,,,,,,,,,,,,,,Therm.decomp.,973,0.75,0.15,5.0,1.0,0.18 ,100.0,29.4,62.8,21.5,15.7,37.2,10.9
La,50.0,,,,,,,,,,,F,50.0,,,,,,,,,,Therm.decomp.,1053,0.80,0.20,4.0,1.0,0.24 ,,25.0,53.4,27.2,19.4,46.6,11.6
La,100.0,,,,,,,,,,,,,,,,,,,,,,Impregnation,1073,0.80,0.20,4.0,1.0,0.04 ,,25.7,,,,51.0,13.1
La,17.3,,,,,,,,,,,,,,,,Si,11.5,Al,71.2,,,Impregnation,1073,0.80,0.20,4.0,1.0,0.04 ,,26.5,,,,53.2,14.1
La,9.1,Mg,90.9,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1023,0.80,0.20,4.0,1.0,0.07 ,,30.0,,,,56.7,17.0
La,50.0,Al,50.0,,,,,,,,,,,,,,,,,,,,Sol-gel,1013,0.33,0.07,5.0,1.0,,,15.0,,,,4.5,0.7
La,100.0,,,,,,,,,,,,,,,,,,,,,,Precipitation,1093,0.74,0.05,13.7,1.0,0.38 ,100.0,13.0,20.1,45.4,29.1,74.5,9.7
La,63.0,Nd,37.0,,,,,,,,,,,,,,,,,,,,Precipitation,1128,0.56,0.09,6.6,1.0,0.26 ,100.0,19.6,38.3,42.8,13.9,56.7,11.1
La,55.9,Pr,11.0,Nd,33.1,,,,,,,,,,,,,,,,,,Precipitation,1108,0.63,0.08,8.0,1.0,0.27 ,100.0,15.0,32.3,35.7,27.9,63.6,9.5
La,18.7,Pr,7.2,Nd,9.6,Ce,64.5,,,,,,,,,,,,,,,,Precipitation,1113,0.61,0.08,7.3,1.0,0.34 ,100.0,11.0,58.8,26.7,12.0,38.7,4.3
La,53.1,Pr,9.4,Nd,26.6,Ce,10.9,,,,,,,,,,,,,,,,Precipitation,1108,0.61,0.08,7.4,1.0,0.30 ,100.0,19.0,29.8,38.9,25.2,64.1,12.2
La,4.8,Ca,95.2,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1073,0.89,0.11,8.0,1.0,0.07 ,,19.8,,,,67.2,13.3
La,1.1,Na,2.1,W,1.0,Mn,2.2,,,,,,,,,,Si,93.6,,,,,Impregnation,973,0.67,0.33,2.0,1.0,0.22 ,100.0,45.8,,,,55.9,25.6
La,10.0,Sr,20.0,Ca,70.0,,,,,,,,,,,,,,,,,,n.a.,1073,0.10,0.03,3.0,1.0,0.06 ,97.0,33.0,,,,57.0,18.8
